Unique ID,Title,Path,Link weight,Body
page1,Resource Exchange,resource-exchange,10,"Resource Exchange"
page2,Dreams Accelerator,dreams-accelerator,20,"Dreams Accelerator"
page3,Learning center,learning-center,30,"Learning center"
page4,Groups,groups,40,"Groups"
